epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.83264,1.78526,33.053,0.01311,0,0,0,0,1.56157,5.72755,0.01055,0.000983607,0.000327869,0.000983607,0.000327869,0.0681967,0.067541,0.000983607,0.000327869
2,18.2409,1.71472,6.8363,0.01388,0,0,0,0,1.79971,3.09976,0.01263,0.00198164,0.000660548,0.00198164,0.000660548,0.0358614,0.0345403,0.00198164,0.000660548
3,26.5004,1.73067,4.56104,0.01237,0,0,0,0,1.44289,3.32545,0.00918,0.0029777,0.000992566,0.0029777,0.000992566,0.00352415,0.00153901,0.0029777,0.000992566
4,34.3588,1.85094,4.11854,0.01422,0.05263,0.07692,0.03689,0.0224,1.40743,3.38789,0.00881,0.00299109,0.00099703,0.00299109,0.00099703,0.00299109,0.00099703,0.00299109,0.00099703
5,42.3955,1.72183,3.77175,0.01305,0.0241,0.15385,0.02096,0.00939,1.37496,3.36185,0.00902,0.00298812,0.00099604,0.00298812,0.00099604,0.00298812,0.00099604,0.00298812,0.00099604
6,50.466,1.6283,3.56417,0.01286,0.00596,0.30769,0.00724,0.00186,1.41178,2.97966,0.00901,0.00298515,0.00099505,0.00298515,0.00099505,0.00298515,0.00099505,0.00298515,0.00099505
7,58.4747,1.46304,3.59665,0.01059,0.0035,0.69231,0.00538,0.00214,1.27883,2.92798,0.00841,0.00298218,0.00099406,0.00298218,0.00099406,0.00298218,0.00099406,0.00298218,0.00099406
8,66.5461,1.45374,3.38943,0.01025,0.00326,0.76923,0.01904,0.00787,1.41029,2.78164,0.00922,0.00297921,0.00099307,0.00297921,0.00099307,0.00297921,0.00099307,0.00297921,0.00099307
9,74.4294,1.35071,3.2565,0.01015,0.00358,0.76923,0.02729,0.00858,1.37648,2.80222,0.0088,0.00297624,0.00099208,0.00297624,0.00099208,0.00297624,0.00099208,0.00297624,0.00099208
10,82.3884,1.33639,2.82582,0.00887,0.0085,0.69231,0.13753,0.05501,1.23031,2.88457,0.00744,0.00297327,0.00099109,0.00297327,0.00099109,0.00297327,0.00099109,0.00297327,0.00099109
11,90.4812,1.48014,3.06907,0.0103,0.00524,0.92308,0.10846,0.04579,1.29534,2.63226,0.00783,0.0029703,0.0009901,0.0029703,0.0009901,0.0029703,0.0009901,0.0029703,0.0009901
12,98.5508,1.302,2.83922,0.00949,0.00459,0.84615,0.09969,0.04472,1.21868,2.7793,0.00719,0.00296733,0.00098911,0.00296733,0.00098911,0.00296733,0.00098911,0.00296733,0.00098911
13,106.604,1.39778,2.84556,0.00932,0.00858,0.92308,0.09452,0.03222,1.32005,2.5634,0.00791,0.00296436,0.00098812,0.00296436,0.00098812,0.00296436,0.00098812,0.00296436,0.00098812
14,114.522,1.30234,2.61363,0.00864,0.00777,1,0.07775,0.02765,1.27269,2.53075,0.00764,0.00296139,0.00098713,0.00296139,0.00098713,0.00296139,0.00098713,0.00296139,0.00098713
15,122.563,1.28873,2.48881,0.00935,0.01286,1,0.14558,0.07193,1.27322,2.32758,0.00779,0.00295842,0.00098614,0.00295842,0.00098614,0.00295842,0.00098614,0.00295842,0.00098614
16,130.747,1.34827,2.5466,0.0093,0.31582,0.07692,0.13628,0.07447,1.23505,2.28259,0.00747,0.00295545,0.00098515,0.00295545,0.00098515,0.00295545,0.00098515,0.00295545,0.00098515
17,138.858,1.51735,2.62954,0.01024,0.18447,0.15385,0.18838,0.09706,1.17996,2.065,0.00695,0.00295248,0.00098416,0.00295248,0.00098416,0.00295248,0.00098416,0.00295248,0.00098416
18,147.023,1.36968,2.45822,0.00984,0.66516,0.15315,0.2254,0.11418,1.13491,2.03061,0.00655,0.00294951,0.00098317,0.00294951,0.00098317,0.00294951,0.00098317,0.00294951,0.00098317
19,155.171,1.40659,2.36556,0.01006,0.43495,0.29717,0.35086,0.15035,1.30147,1.88707,0.00783,0.00294654,0.00098218,0.00294654,0.00098218,0.00294654,0.00098218,0.00294654,0.00098218
20,163.246,1.39291,2.26294,0.00925,0.87884,0.38462,0.4722,0.19372,1.35121,1.85071,0.00808,0.00294357,0.00098119,0.00294357,0.00098119,0.00294357,0.00098119,0.00294357,0.00098119
21,171.38,1.4745,2.13853,0.01055,0.32304,0.23077,0.29881,0.10507,1.45099,1.97587,0.00883,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
22,179.593,1.44668,1.99395,0.01027,0.6359,0.46154,0.53651,0.22322,1.49967,1.49335,0.00932,0.00293763,0.00097921,0.00293763,0.00097921,0.00293763,0.00097921,0.00293763,0.00097921
23,187.774,1.44954,2.00058,0.00989,0.76362,0.23077,0.36861,0.16349,1.50633,1.62961,0.0092,0.00293466,0.00097822,0.00293466,0.00097822,0.00293466,0.00097822,0.00293466,0.00097822
24,195.904,1.44405,1.76232,0.01023,0.28604,0.46154,0.37486,0.1494,1.48562,1.57292,0.00896,0.00293169,0.00097723,0.00293169,0.00097723,0.00293169,0.00097723,0.00293169,0.00097723
25,203.848,1.51546,1.56956,0.01012,0.43836,0.38462,0.45325,0.22362,1.48661,1.47546,0.0091,0.00292872,0.00097624,0.00292872,0.00097624,0.00292872,0.00097624,0.00292872,0.00097624
26,211.98,1.40227,1.55213,0.01057,0.35879,0.38462,0.4437,0.25076,1.3941,1.6697,0.0088,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525
27,220.061,1.38473,1.36321,0.00976,0.40584,0.579,0.48803,0.26563,1.48678,1.48452,0.00951,0.00292278,0.00097426,0.00292278,0.00097426,0.00292278,0.00097426,0.00292278,0.00097426
28,228.18,1.34578,1.33553,0.00959,0.3725,0.69231,0.4361,0.2211,1.53892,1.105,0.00992,0.00291981,0.00097327,0.00291981,0.00097327,0.00291981,0.00097327,0.00291981,0.00097327
29,236.287,1.56356,1.36022,0.01186,0.37444,0.61538,0.462,0.19383,1.45972,1.18128,0.00925,0.00291684,0.00097228,0.00291684,0.00097228,0.00291684,0.00097228,0.00291684,0.00097228
30,244.221,1.46132,1.15711,0.01082,0.45346,0.57557,0.47358,0.19555,1.51219,1.11703,0.00969,0.00291387,0.00097129,0.00291387,0.00097129,0.00291387,0.00097129,0.00291387,0.00097129
31,252.351,1.56189,1.17824,0.01094,0.6074,0.76923,0.67905,0.24736,1.64093,0.96819,0.01063,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
32,260.429,1.36578,1.04456,0.00979,0.62897,0.69231,0.68603,0.20429,1.7681,1.00872,0.01184,0.00290793,0.00096931,0.00290793,0.00096931,0.00290793,0.00096931,0.00290793,0.00096931
33,268.452,1.42687,0.88474,0.01066,0.77765,0.80852,0.68502,0.22099,1.69645,0.86725,0.01125,0.00290496,0.00096832,0.00290496,0.00096832,0.00290496,0.00096832,0.00290496,0.00096832
34,276.612,1.5284,0.91708,0.01065,0.63428,0.76923,0.5971,0.284,1.51931,0.87979,0.00974,0.00290199,0.00096733,0.00290199,0.00096733,0.00290199,0.00096733,0.00290199,0.00096733
35,284.748,1.6127,1.02238,0.01095,0.54273,0.84615,0.73918,0.28822,1.62115,0.8596,0.01036,0.00289902,0.00096634,0.00289902,0.00096634,0.00289902,0.00096634,0.00289902,0.00096634
36,292.866,1.48847,0.86888,0.01028,0.6068,0.83166,0.68405,0.29034,1.62222,0.86615,0.01037,0.00289605,0.00096535,0.00289605,0.00096535,0.00289605,0.00096535,0.00289605,0.00096535
37,300.955,1.46577,0.7925,0.01083,0.71417,0.76882,0.77986,0.37148,1.5251,0.66686,0.00952,0.00289308,0.00096436,0.00289308,0.00096436,0.00289308,0.00096436,0.00289308,0.00096436
38,309.108,1.48084,0.75494,0.01055,0.5909,0.92308,0.71914,0.31162,1.59978,0.75583,0.01013,0.00289011,0.00096337,0.00289011,0.00096337,0.00289011,0.00096337,0.00289011,0.00096337
39,317.192,1.4904,0.87813,0.01036,0.64692,0.92308,0.76329,0.28619,1.62448,0.94905,0.01024,0.00288714,0.00096238,0.00288714,0.00096238,0.00288714,0.00096238,0.00288714,0.00096238
40,325.303,1.40815,0.78172,0.01025,0.63876,0.84615,0.7303,0.29761,1.47023,0.97116,0.00891,0.00288417,0.00096139,0.00288417,0.00096139,0.00288417,0.00096139,0.00288417,0.00096139
41,333.245,1.55077,0.70601,0.01086,0.61762,0.84615,0.66732,0.29821,1.4621,0.88054,0.00906,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
42,341.296,1.39623,0.8023,0.00996,0.63106,0.92308,0.74,0.32579,1.44249,0.9384,0.00884,0.00287823,0.00095941,0.00287823,0.00095941,0.00287823,0.00095941,0.00287823,0.00095941
43,349.4,1.44756,0.82194,0.00943,0.68146,0.76923,0.6631,0.29465,1.31965,0.85919,0.00797,0.00287526,0.00095842,0.00287526,0.00095842,0.00287526,0.00095842,0.00287526,0.00095842
44,357.567,1.54148,0.79185,0.0112,0.63894,0.84615,0.71729,0.32728,1.47353,0.84875,0.00927,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
45,365.681,1.42086,0.91046,0.0103,0.68906,0.76923,0.81623,0.34833,1.35086,0.85701,0.00827,0.00286932,0.00095644,0.00286932,0.00095644,0.00286932,0.00095644,0.00286932,0.00095644
46,373.618,1.44388,0.83195,0.01035,0.64493,0.83874,0.79894,0.35623,1.38406,0.84837,0.00852,0.00286635,0.00095545,0.00286635,0.00095545,0.00286635,0.00095545,0.00286635,0.00095545
47,381.726,1.40369,0.57987,0.00957,0.68543,0.8385,0.64995,0.33283,1.59097,0.64826,0.00969,0.00286338,0.00095446,0.00286338,0.00095446,0.00286338,0.00095446,0.00286338,0.00095446
48,389.888,1.31648,0.76939,0.00966,0.71858,1,0.86657,0.32164,1.59272,0.71247,0.00974,0.00286041,0.00095347,0.00286041,0.00095347,0.00286041,0.00095347,0.00286041,0.00095347
49,397.941,1.36989,0.66711,0.01008,0.77952,0.76923,0.85086,0.39494,1.5104,0.5987,0.00931,0.00285744,0.00095248,0.00285744,0.00095248,0.00285744,0.00095248,0.00285744,0.00095248
50,406.033,1.37698,0.65495,0.00964,0.81005,0.98491,0.8838,0.37308,1.52746,0.56529,0.00952,0.00285447,0.00095149,0.00285447,0.00095149,0.00285447,0.00095149,0.00285447,0.00095149
51,414.143,1.36515,0.74797,0.00922,0.79657,0.9046,0.88142,0.36617,1.44859,0.68326,0.00921,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
52,422.071,1.3812,0.6839,0.00954,0.74164,0.92308,0.86819,0.35858,1.46761,0.6539,0.00929,0.00284853,0.00094951,0.00284853,0.00094951,0.00284853,0.00094951,0.00284853,0.00094951
53,430.197,1.40011,0.82899,0.00976,0.73009,0.92308,0.88288,0.41735,1.45112,0.63961,0.00909,0.00284556,0.00094852,0.00284556,0.00094852,0.00284556,0.00094852,0.00284556,0.00094852
54,438.428,1.47676,0.66872,0.01017,0.70804,1,0.88805,0.36503,1.51215,0.57422,0.00956,0.00284259,0.00094753,0.00284259,0.00094753,0.00284259,0.00094753,0.00284259,0.00094753
55,446.581,1.38653,0.64169,0.00947,0.72073,0.99298,0.87815,0.40962,1.43224,0.65229,0.0089,0.00283962,0.00094654,0.00283962,0.00094654,0.00283962,0.00094654,0.00283962,0.00094654
56,454.743,1.29424,0.59863,0.00898,0.65505,0.92308,0.80846,0.37694,1.50272,0.58637,0.00955,0.00283665,0.00094555,0.00283665,0.00094555,0.00283665,0.00094555,0.00283665,0.00094555
