epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
115;932.918;107.511;0.52049;0.00706;0.98412;0.76923;0,94088;0,48733;122.266;0.55948;0.00782;0.00266142;0.00088714;0.00266142;0.00088714;0.00266142;0.00088714;0.00266142;0.00088714
116;940.877;106.687;0.41407;0.00664;0.74668;0.92308;0,93205;0,51121;119.917;0.59969;0.00772;0.00265845;0.00088615;0.00265845;0.00088615;0.00265845;0.00088615;0.00265845;0.00088615
72;584.638;133.887;0.61186;0.00973;0.78049;0.92308;0,93127;0,4505;144.731;0.66324;0.00919;0.00278913;0.00092971;0.00278913;0.00092971;0.00278913;0.00092971;0.00278913;0.00092971
117;949.028;107.106;0.3643;0.00779;0.80007;0.92308;0,92964;0,51522;116.164;0.55192;0.00742;0.00265548;0.00088516;0.00265548;0.00088516;0.00265548;0.00088516;0.00265548;0.00088516
123;997.811;100.786;0.30654;0.00705;0.77996;1;0,91918;0,46657;126.125;0.54535;0.00818;0.00263766;0.00087922;0.00263766;0.00087922;0.00263766;0.00087922;0.00263766;0.00087922
179;1451.91;0.8934;0.32273;0.00601;0.69634;0.92308;0,91044;0,47538;138.157;0.79093;0.00914;0.00247134;0.00082378;0.00247134;0.00082378;0.00247134;0.00082378;0.00247134;0.00082378
183;1484.17;0.93102;0.30105;0.00613;0.70943;1;0,90367;0,48499;133.787;0.67903;0.00885;0.00245946;0.00081982;0.00245946;0.00081982;0.00245946;0.00081982;0.00245946;0.00081982
181;1467.96;0.84716;0.25787;0.00571;0.93961;0.69231;0,90315;0,47098;141.183;0.71162;0.00943;0.0024654;0.0008218;0.0024654;0.0008218;0.0024654;0.0008218;0.0024654;0.0008218
63;511.505;131.294;0.58601;0.00862;0.84727;0.76923;0,90172;0,38971;154.499;0.65609;0.00982;0.00281586;0.00093862;0.00281586;0.00093862;0.00281586;0.00093862;0.00281586;0.00093862
182;1476.02;0.77916;0.28202;0.0049;0.69969;0.92308;0,89784;0,4611;136.009;0.62649;0.00912;0.00246243;0.00082081;0.00246243;0.00082081;0.00246243;0.00082081;0.00246243;0.00082081
122;989.789;104.823;0.35083;0.00691;0.90762;0.76923;0,89599;0,48382;123.974;0.68948;0.00813;0.00264063;0.00088021;0.00264063;0.00088021;0.00264063;0.00088021;0.00264063;0.00088021
149;1208.73;0.90556;0.38499;0.00643;0.7458;0.92308;0,89539;0,49616;135.823;0.68665;0.00901;0.00256044;0.00085348;0.00256044;0.00085348;0.00256044;0.00085348;0.00256044;0.00085348
92;746.42;124.195;0.44796;0.00859;0.98565;0.69231;0,895;0,49782;126.509;0.64651;0.00823;0.00272973;0.00090991;0.00272973;0.00090991;0.00272973;0.00090991;0.00272973;0.00090991
69;560.153;129.362;0.61836;0.00901;0.74438;0.89714;0,89291;0,43001;148.086;0.63889;0.00913;0.00279804;0.00093268;0.00279804;0.00093268;0.00279804;0.00093268;0.00279804;0.00093268
108;876.049;117.106;0.40506;0.00834;0.95902;0.69231;0,88937;0,47406;123.789;0.71577;0.00811;0.00268221;0.00089407;0.00268221;0.00089407;0.00268221;0.00089407;0.00268221;0.00089407
120;973.645;118.067;0.47232;0.00879;0.77896;0.84615;0,88836;0,49478;123.517;0.70274;0.0081;0.00264657;0.00088219;0.00264657;0.00088219;0.00264657;0.00088219;0.00264657;0.00088219
54;438.428;147.676;0.66872;0.01017;0.70804;1;0,88805;0,36503;151.215;0.57422;0.00956;0.00284259;0.00094753;0.00284259;0.00094753;0.00284259;0.00094753;0.00284259;0.00094753
57;462.671;139.116;0.65188;0.0102;0.76461;0.99949;0,88676;0,42094;138.886;0.68239;0.00868;0.00283368;0.00094456;0.00283368;0.00094456;0.00283368;0.00094456;0.00283368;0.00094456
154;1249.26;0.97974;0.36924;0.00718;0.88995;0.84615;0,88574;0,49287;135.603;0.80063;0.00902;0.00254559;0.00084853;0.00254559;0.00084853;0.00254559;0.00084853;0.00254559;0.00084853
178;1443.79;0.9403;0.29031;0.00619;0.66303;0.90881;0,88523;0,48211;136.263;0.83572;0.00903;0.00247431;0.00082477;0.00247431;0.00082477;0.00247431;0.00082477;0.00247431;0.00082477
70;568.256;134.669;0.61761;0.00932;0.90264;0.71462;0,88508;0,45116;138.832;0.66098;0.0086;0.00279507;0.00093169;0.00279507;0.00093169;0.00279507;0.00093169;0.00279507;0.00093169
50;406.033;137.698;0.65495;0.00964;0.81005;0.98491;0,8838;0,37308;152.746;0.56529;0.00952;0.00285447;0.00095149;0.00285447;0.00095149;0.00285447;0.00095149;0.00285447;0.00095149
180;1459.85;0.85186;0.30733;0.00561;0.9287;0.69231;0,88352;0,46937;140.966;0.80921;0.00941;0.00246837;0.00082279;0.00246837;0.00082279;0.00246837;0.00082279;0.00246837;0.00082279
184;1492.3;0.94346;0.34327;0.00618;0.64028;1;0,88295;0,45609;13.961;0.69523;0.00929;0.00245649;0.00081883;0.00245649;0.00081883;0.00245649;0.00081883;0.00245649;0.00081883
53;430.197;140.011;0.82899;0.00976;0.73009;0.92308;0,88288;0,41735;145.112;0.63961;0.00909;0.00284556;0.00094852;0.00284556;0.00094852;0.00284556;0.00094852;0.00284556;0.00094852
61;495.23;130.193;0.60787;0.00889;0.80567;0.76923;0,88186;0,40515;147.539;0.67185;0.00932;0.0028218;0.0009406;0.0028218;0.0009406;0.0028218;0.0009406;0.0028218;0.0009406
51;414.143;136.515;0.74797;0.00922;0.79657;0.9046;0,88142;0,36617;144.859;0.68326;0.00921;0.0028515;0.0009505;0.0028515;0.0009505;0.0028515;0.0009505;0.0028515;0.0009505
58;470.787;129.938;0.57768;0.009;0.78415;0.92308;0,88089;0,36391;144.303;0.59354;0.00921;0.00283071;0.00094357;0.00283071;0.00094357;0.00283071;0.00094357;0.00283071;0.00094357
148;1200.57;0.95461;0.32833;0.00617;0.70236;0.90833;0,88058;0,50082;129.841;0.73738;0.00871;0.00256341;0.00085447;0.00256341;0.00085447;0.00256341;0.00085447;0.00256341;0.00085447
175;1419.39;0.84818;0.26146;0.00575;0.68006;1;0,88048;0,46026;137.738;0.69988;0.00908;0.00248322;0.00082774;0.00248322;0.00082774;0.00248322;0.00082774;0.00248322;0.00082774
55;446.581;138.653;0.64169;0.00947;0.72073;0.99298;0,87815;0,40962;143.224;0.65229;0.0089;0.00283962;0.00094654;0.00283962;0.00094654;0.00283962;0.00094654;0.00283962;0.00094654
121;981.607;106.152;0.46193;0.00752;0.66857;1;0,87803;0,4859;121.773;0.61438;0.00803;0.0026436;0.0008812;0.0026436;0.0008812;0.0026436;0.0008812;0.0026436;0.0008812
128;1038.41;104.875;0.45113;0.00709;0.77591;0.92308;0,87617;0,46918;129.857;0.68804;0.0082;0.00262281;0.00087427;0.00262281;0.00087427;0.00262281;0.00087427;0.00262281;0.00087427
119;965.352;110.228;0.44175;0.00758;0.6879;0.92308;0,87556;0,49107;118.342;0.68583;0.00741;0.00264954;0.00088318;0.00264954;0.00088318;0.00264954;0.00088318;0.00264954;0.00088318
62;503.228;139.121;0.62391;0.0094;0.74604;0.84615;0,8755;0,39693;144.008;0.67494;0.00889;0.00281883;0.00093961;0.00281883;0.00093961;0.00281883;0.00093961;0.00281883;0.00093961
176;1427.51;0.96289;0.33352;0.00623;0.65726;0.92308;0,87333;0,42752;145.852;0.7864;0.0096;0.00248025;0.00082675;0.00248025;0.00082675;0.00248025;0.00082675;0.00248025;0.00082675
