epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;train/angle_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;val/angle_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
165;769.54;0.81716;0.36498;0.072;0.00747;0.95125;0.97569;0,99262;0,76012;0.96428;0.32797;0.09911;0.00575;0.00251292;0.00083764;0.00251292;0.00083764;0.00251292;0.00083764;0.00251292;0.00083764
164;764.894;0.80126;0.32002;0.05882;0.00664;0.95149;0.9809;0,99211;0,75671;0.98713;0.32209;0.0991;0.00647;0.00251589;0.00083863;0.00251589;0.00083863;0.00251589;0.00083863;0.00251589;0.00083863
39;181.711;112.951;0.62933;0.05565;0.01175;1;0.96546;0,99009;0,74545;0.9911;0.42118;0.09367;0.00528;0.00288714;0.00096238;0.00288714;0.00096238;0.00288714;0.00096238;0.00288714;0.00096238
194;905.004;0.72792;0.29302;0.0557;0.01516;1;0.96454;0,98955;0,75108;0.96301;0.37791;0.08671;0.00452;0.00242679;0.00080893;0.00242679;0.00080893;0.00242679;0.00080893;0.00242679;0.00080893
40;186.521;112.889;0.61039;0.05759;0.01324;1;0.9398;0,98782;0,75407;0.96801;0.41442;0.09148;0.00598;0.00288417;0.00096139;0.00288417;0.00096139;0.00288417;0.00096139;0.00288417;0.00096139
158;736.59;0.78287;0.32969;0.06553;0.00588;0.95057;0.96159;0,98777;0,7285;101.887;0.35165;0.09734;0.00757;0.00253371;0.00084457;0.00253371;0.00084457;0.00253371;0.00084457;0.00253371;0.00084457
166;774.175;0.79124;0.28924;0.07171;0.00823;0.97432;0.94845;0,98744;0,7526;0.9444;0.33852;0.09997;0.00496;0.00250995;0.00083665;0.00250995;0.00083665;0.00250995;0.00083665;0.00250995;0.00083665
37;172.471;106.394;0.62219;0.07165;0.00942;0.91642;0.975;0,98742;0,72844;103.886;0.45777;0.09649;0.00565;0.00289308;0.00096436;0.00289308;0.00096436;0.00289308;0.00096436;0.00289308;0.00096436
42;195.8;115.052;0.57037;0.06513;0.01157;0.95562;0.95;0,98726;0,75035;0.95808;0.42894;0.09236;0.00584;0.00287823;0.00095941;0.00287823;0.00095941;0.00287823;0.00095941;0.00287823;0.00095941
55;256.277;0.9951;0.44822;0.06351;0.0094;1;0.93874;0,98504;0,76429;0.95133;0.3647;0.0916;0.00694;0.00283962;0.00094654;0.00283962;0.00094654;0.00283962;0.00094654;0.00283962;0.00094654
52;242.255;107.119;0.46916;0.05684;0.01932;1;0.8957;0,98494;0,77957;0.95945;0.36331;0.09257;0.00648;0.00284853;0.00094951;0.00284853;0.00094951;0.00284853;0.00094951;0.00284853;0.00094951
170;793.002;0.79332;0.34806;0.06512;0.00524;0.9743;0.94776;0,98474;0,73564;0.99544;0.38097;0.10348;0.00462;0.00249807;0.00083269;0.00249807;0.00083269;0.00249807;0.00083269;0.00249807;0.00083269
157;731.915;0.79979;0.37513;0.06971;0.01031;0.99118;0.95;0,98472;0,73462;0.9957;0.38247;0.09678;0.00713;0.00253668;0.00084556;0.00253668;0.00084556;0.00253668;0.00084556;0.00253668;0.00084556
85;395.972;0.93713;0.39051;0.05928;0.00709;0.97422;0.94486;0,98448;0,71566;0.97548;0.44865;0.10063;0.00572;0.00275052;0.00091684;0.00275052;0.00091684;0.00275052;0.00091684;0.00275052;0.00091684
160;746.113;0.73862;0.3082;0.06986;0.00577;0.97359;0.9218;0,98418;0,74026;0.99215;0.35657;0.09866;0.00653;0.00252777;0.00084259;0.00252777;0.00084259;0.00252777;0.00084259;0.00252777;0.00084259
163;760.183;0.72947;0.288;0.07313;0.00607;0.94599;0.95;0,9832;0,73795;0.99281;0.37976;0.0991;0.00651;0.00251886;0.00083962;0.00251886;0.00083962;0.00251886;0.00083962;0.00251886;0.00083962
196;914.394;0.75455;0.34068;0.06275;0.00967;0.99771;0.975;0,98307;0,75621;0.94607;0.38945;0.0879;0.00411;0.00242085;0.00080695;0.00242085;0.00080695;0.00242085;0.00080695;0.00242085;0.00080695
53;246.896;0.93457;0.42862;0.05795;0.00766;1;0.9176;0,98303;0,76993;0.93468;0.37472;0.09094;0.0063;0.00284556;0.00094852;0.00284556;0.00094852;0.00284556;0.00094852;0.00284556;0.00094852
38;177.099;111.801;0.58743;0.06729;0.01354;0.97426;0.94619;0,98291;0,73072;10.356;0.4214;0.09671;0.00544;0.00289011;0.00096337;0.00289011;0.00096337;0.00289011;0.00096337;0.00289011;0.00096337
171;797.604;0.76453;0.35389;0.07987;0.00924;0.94965;0.94322;0,98264;0,73696;0.99156;0.40219;0.09866;0.00472;0.0024951;0.0008317;0.0024951;0.0008317;0.0024951;0.0008317;0.0024951;0.0008317
236;1101.18;0.64952;0.30455;0.05246;0.00546;0.96834;0.95;0,9822;0,75484;0.9423;0.38783;0.09043;0.0047;0.00230205;0.00076735;0.00230205;0.00076735;0.00230205;0.00076735;0.00230205;0.00076735
129;601.178;0.85164;0.37919;0.07345;0.00802;0.97374;0.92712;0,98169;0,74044;0.99293;0.43733;0.09176;0.00433;0.00261984;0.00087328;0.00261984;0.00087328;0.00261984;0.00087328;0.00261984;0.00087328
88;409.994;0.84145;0.3571;0.06147;0.0099;0.96005;0.95;0,98165;0,71907;0.99041;0.42865;0.10121;0.00477;0.00274161;0.00091387;0.00274161;0.00091387;0.00274161;0.00091387;0.00274161;0.00091387
51;237.595;103.772;0.49174;0.05401;0.00958;0.9806;0.9;0,98154;0,75922;0.98467;0.42637;0.09427;0.00591;0.0028515;0.0009505;0.0028515;0.0009505;0.0028515;0.0009505;0.0028515;0.0009505
219;1021.84;0.73827;0.29092;0.04763;0.00555;0.97041;0.925;0,98144;0,73591;0.96664;0.43118;0.09252;0.00705;0.00235254;0.00078418;0.00235254;0.00078418;0.00235254;0.00078418;0.00235254;0.00078418
